Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/button_Save_job_details""))",Chrome 106.0.0.0,,,2022-10-07 11:13:46,2022-10-07 11:13:46,0.481s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:13:46,2022-10-07 11:13:48,2.049s,PASSED
back(),Chrome 106.0.0.0,,,2022-10-07 11:13:48,2022-10-07 11:13:49,0.047s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/i_Blood_type_dropdown""))",Chrome 106.0.0.0,,,2022-10-07 11:13:49,2022-10-07 11:13:49,0.499s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/div_A""))",Chrome 106.0.0.0,,,2022-10-07 11:13:49,2022-10-07 11:13:50,0.480s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/button_Save_Custom_details""))",Chrome 106.0.0.0,,,2022-10-07 11:13:50,2022-10-07 11:13:50,0.483s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:13:50,2022-10-07 11:13:52,2.056s,PASSED
back(),Chrome 106.0.0.0,,,2022-10-07 11:13:52,2022-10-07 11:13:52,0.082s,PASSED
back(),Chrome 106.0.0.0,,,2022-10-07 11:13:52,2022-10-07 11:13:52,0.159s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_name_search""))",Chrome 106.0.0.0,,,2022-10-07 11:13:52,2022-10-07 11:13:54,1.459s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_name_search""), ""Abdul"")",Chrome 106.0.0.0,,,2022-10-07 11:13:54,2022-10-07 11:13:54,0.661s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:13:54,2022-10-07 11:13:56,2.057s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/div_First_option_select""))",Chrome 106.0.0.0,,,2022-10-07 11:13:56,2022-10-07 11:13:57,0.362s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/button_Search_employee""))",Chrome 106.0.0.0,,,2022-10-07 11:13:57,2022-10-07 11:13:57,0.493s,PASSED
"scrollToPosition(100, 200)",Chrome 106.0.0.0,,,2022-10-07 11:13:57,2022-10-07 11:13:57,0.038s,PASSED
